date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:52	28416/28416	---M--	200	added ('OK')	image/png	etag:%226f00-5c72ea9dfe900%22	https://davur.dexignzone.com/frontend/images/food-icon/10.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/food-icon/10.png	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:55	32261/32261	---M--	200	added ('OK')	image/jpeg	etag:%227e05-5b83b56e54300%22	https://davur.dexignzone.com/frontend/images/dish/pic5.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/dish/pic5.jpg	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:56	25430/25430	---M--	200	added ('OK')	image/jpeg	etag:%226356-5b83b56e54300%22	https://davur.dexignzone.com/frontend/images/dish/pic4.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/dish/pic4.jpg	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:57	26824/26824	---M--	200	added ('OK')	image/jpeg	etag:%2268c8-5b83b56e54300%22	https://davur.dexignzone.com/frontend/images/dish/pic3.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/dish/pic3.jpg	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:35:57	24500/24500	---M--	200	added ('OK')	image/jpeg	etag:%225fb4-5b83b56e54300%22	https://davur.dexignzone.com/frontend/images/dish/pic2.jpg	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/images/dish/pic2.jpg	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:36:00	210031/210031	---M--	200	added ('OK')	application/x-javascript	etag:%223346f-58dde99508380%22	https://davur.dexignzone.com/frontend/vendor/chart.js/Chart.bundle.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/chart.js/Chart.bundle.min.js	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:36:01	4744/4744	---M--	200	added ('OK')	application/x-javascript	etag:%221288-5c73fbaa81d00%22	https://davur.dexignzone.com/frontend/js/dashboard/dashboard.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/js/dashboard/dashboard.js	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:36:02	459010/459010	---M--	200	added ('OK')	application/x-javascript	etag:%2270102-5aecc820ced80%22	https://davur.dexignzone.com/frontend/vendor/apexchart/apexchart.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/apexchart/apexchart.js	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:36:02	7972/7972	---M--	200	added ('OK')	application/x-javascript	etag:%221f24-5def374969c80%22	https://davur.dexignzone.com/frontend/js/custom.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/js/custom.min.js	(from https://davur.dexignzone.com/frontend/front-dashboard.html)
12:36:02	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.54.delayed	(from https://davur.dexignzone.com/frontend/front-transactions.html)
